Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
102,16454955,RicardoLópez,"2026-09-10 04:57:10",0.948,84,richi2489
103,16675099,"Oleg Panichev","2026-09-14 19:29:18",0.948,88,opanichev
104,16460016,neilan,"2026-09-15 02:49:04",0.948,60,abhijithneilabraham
105,16454847,Lonnie,"2026-09-14 02:25:30",0.948,217,lonnieqin
106,16651943,xxxx0314,"2026-09-14 07:09:28",0.948,84,"kirklandsan,xxxx0314,yunfeiyang223"
107,16670956,안녕하세요이세입니다잘부탁드립니다,"2026-09-14 13:40:30",0.948,30,municef1
108,16460127,AkiraIshikawa,"2026-09-14 20:36:16",0.948,116,akiraishikawa
109,16618557,"forever young","2026-09-14 12:16:37",0.948,178,keisukeyokota0428
110,16493172,"ISGlobal Offensive","2026-09-14 22:21:01",0.948,107,"albertalegret,davidsarrat,didaccayuela,ramonmatnav,victornc"
111,16564752,taiseiu,"2026-09-15 02:34:35",0.948,77,taiseiu
112,16814927,"zhehao liang","2026-09-14 23:29:03",0.948,32,"pengyuzhongzju,zhehaoliang"
113,16470397,seyolax,"2026-09-15 00:01:36",0.948,7,isy640
114,16796263,mlhealth,"2026-09-12 14:10:50",0.948,23,"aditijain1902,eeshanbablani,ritvikshrivastava,tanishklakra,vibhanshudixit"
115,16543120,"Suliman Tadros","2026-09-13 12:17:16",0.948,20,sulimantadros
116,16718308,Artalmaz31,"2026-09-14 12:50:39",0.948,40,artalmaz31
117,16827167,RDavin,"2026-09-14 05:45:19",0.948,5,rdavin
118,16886527,"Дмитрий Герасимов","2026-09-14 14:26:03",0.948,4,domager72
119,16796675,"Jiacheng Zhao","2026-09-12 12:53:37",0.948,17,glorysing
120,16749192,"qr Z1201","2026-09-15 02:23:16",0.948,36,qrz1201
121,16817845,"Vijay Mariappan","2026-09-15 03:41:56",0.948,37,vijay75
122,16685695,"VOXEL ART","2026-09-14 17:54:08",0.948,206,"asimandia,ignatgotin,ogurtsov,zoli800"
123,16820124,Euphor_M,"2026-09-12 11:54:52",0.948,10,euphor
124,16468697,Chellick,"2026-09-14 09:15:50",0.948,10,matweyisupov
125,16484044,NoOneAhead,"2026-09-13 06:34:57",0.947,307,jerrlu
126,16574913,"Freeman Hui","2026-09-14 01:06:38",0.947,57,freemanhui
127,16602564,VSG,"2026-09-13 14:22:10",0.947,60,"chingizkhankishiyev,ellightened,muradnuraliyev,skyweel08"
128,16458987,dddkk0,"2026-09-13 09:46:31",0.947,78,compensator
129,16574121,"Igor V","2026-09-14 23:51:46",0.947,46,rostigor
130,16457338,AWN,"2026-09-12 12:17:28",0.947,97,"arunodhayan,nablaoperator123,peilwang"
131,16795364,xinwang,"2026-09-14 06:06:20",0.947,33,xxxtetantion
132,16571240,"wennan cao","2026-09-14 15:50:25",0.947,162,wennancao
133,16823884,Skyroot,"2026-09-14 15:00:19",0.947,21,litterboy
134,16645330,easonyanyan,"2026-09-14 23:01:44",0.947,66,easonyanyan
135,16669296,kiyomiya-k,"2026-09-13 08:42:01",0.947,42,kiyomiyak
136,16848632,田口雄大,"2026-09-14 12:39:04",0.947,8,ydi102143
137,16465176,taopy2,"2026-09-15 00:57:16",0.947,94,taopy2
138,16454066,"Mikael Kerimov","2026-09-15 00:08:36",0.947,38,"mikaelkerimov,mperminiov"
139,16791306,woldy,"2026-09-13 21:28:17",0.947,22,woldywei
140,16875693,jwboost,"2026-09-14 04:45:49",0.947,5,kiritocui
141,16805468,KuziJA,"2026-09-14 09:25:43",0.947,19,kuzija
142,16479958,LeeVvin,"2026-09-14 02:47:28",0.947,81,leevvin
143,16488570,honjousetuna,"2026-09-14 04:09:29",0.947,43,honjousetuna
144,16774680,rogerrogerroger3r,"2026-09-14 15:50:58",0.947,58,rogerrogerroger3r
145,16840258,Noir,"2026-09-14 18:12:11",0.947,12,nuitnoir
146,16604283,hikaggler,"2026-09-14 22:30:51",0.947,145,"hikarukai,hono6b"
147,16852717,shallweiwei,"2026-09-14 23:31:47",0.947,12,shallweiwei
148,16454641,Haraguchi-T,"2026-09-14 12:34:56",0.947,67,haraguchit
149,16846839,ddsleep,"2026-09-12 11:55:21",0.947,11,ddsleep
150,16866669,MyungJu,"2026-09-11 09:16:37",0.947,7,myungjujung
151,16808679,"Rikuto Kuwayama","2026-09-14 12:06:18",0.947,53,rikutokuwayama
152,16591754,KHitomi,"2026-09-14 04:09:23",0.947,23,khitomi
153,16768238,cesare,"2026-09-13 20:45:48",0.947,39,cesaremov
154,16839955,MioValentine,"2026-09-15 00:27:28",0.947,22,yuyizhu
155,16550943,"Vinayak Pathak","2026-09-14 21:16:44",0.947,68,vinayapathak
156,16611515,Jun_value,"2026-09-15 01:13:23",0.947,63,junvalue
157,16709193,MKhlystun,"2026-09-15 02:17:28",0.947,41,mkhlystun
158,16481288,TakamaruEX,"2026-09-14 11:57:45",0.947,116,takamaruex
159,16454055,"MOHAMMADJAFAR ZAMANI","2026-09-12 22:10:02",0.947,107,mohammadjafarzamani
160,16460904,yhyuckgl,"2026-09-13 20:52:00",0.947,38,yhyuckgl
161,16671210,nonca,"2026-09-14 03:52:04",0.947,23,quoteriskmst
162,16516057,"Enrique Rodríguez","2026-09-15 00:40:07",0.947,190,enriro0
163,16469112,"Erwin Erdem","2026-09-14 14:12:37",0.947,103,erwinerdem
164,16713274,"Patti Ginjalu","2026-09-14 12:17:15",0.947,22,"bhargavpandiri,patnayakunisaketh,tulasiramveerni,vivekjami"
165,16737435,"Vaibhav Nakrani","2026-09-14 04:00:58",0.947,8,vaibhavnakrani
166,16627260,X.X,"2026-09-14 07:54:15",0.947,10,mikeintokyo
167,16642462,Skyspace,"2026-09-12 13:04:10",0.947,30,empireblue
168,16609245,liyansen,"2026-09-14 09:40:05",0.947,138,liyansen
169,16790801,"Suyash Verma","2026-09-15 00:20:15",0.947,51,suyashdiamond1
170,16689987,"Peter KK","2026-09-14 20:20:53",0.947,55,peterty
171,16506749,"От обезьяны к LLM","2026-09-14 14:13:41",0.947,64,ilia128
172,16461589,Pai,"2026-09-14 19:05:27",0.947,26,rajathrpai
173,16518070,"Anvith Pothula","2026-09-15 01:53:52",0.947,88,anvithpothula
174,16710283,Maaax,"2026-09-14 10:02:36",0.947,44,mingxiangjia
175,16780761,wind0703,"2026-09-15 03:16:28",0.947,49,wind0703
176,16458655,"Aman Atar","2026-09-14 05:42:43",0.947,102,amanatar
177,16587421,chocolat,"2026-09-14 12:51:45",0.947,88,chocolatnya999
178,16672667,"Takahiro Saito","2026-09-15 00:14:21",0.947,120,takahiro3110
179,16793107,"Charlie ESV","2026-09-08 00:01:48",0.947,36,charlieesv
180,16866615,ColorGram,"2026-09-13 03:37:38",0.947,6,colorgram
181,16458101,"Knight of Favonius","2026-09-14 20:32:51",0.947,59,ladyfaye
182,16859533,daoviet,"2026-09-14 08:36:32",0.947,10,daoviet
183,16610471,"Eesh saxena","2026-09-12 12:16:23",0.947,106,eeshsaxena
184,16760937,Huanghongming,"2026-09-13 14:19:02",0.947,10,huanghongming
185,16466545,"Kevin E R MILLE","2026-09-15 00:06:51",0.947,117,kevinermille
186,16599494,"Frederick Lee","2026-09-15 00:20:44",0.947,51,"frederickvlee,sjlee101"
187,16454368,"Sebastian Mateus","2026-09-12 11:41:42",0.947,62,sebastianmateus
188,16532323,curiousiam,"2026-09-12 17:01:51",0.947,41,curiousiam
189,16457207,"Van-Phuc Huynh","2026-09-12 21:40:31",0.947,27,hvanphucs112
190,16532701,Robson,"2026-09-11 16:33:15",0.947,15,robsonsan
191,16832191,"No Name","2026-09-13 15:38:56",0.947,35,ivanj0
192,16833965,"Revanth Tambisetty","2026-09-13 08:41:22",0.947,4,revanthtambisetty
193,16468309,"Eugene Khvedchenya","2026-09-14 20:41:47",0.947,52,bloodaxe
194,16457567,Efthimios,"2026-09-13 08:20:22",0.947,60,efthimiosfousekis
195,16454827,"Seok, Jeongeum","2026-09-14 11:45:03",0.947,334,seokjeongeum
196,16576548,"shubham kumar #2","2026-09-14 18:24:10",0.947,24,shubzk17
197,16726549,"Ezra Kho","2026-09-14 22:22:28",0.947,43,ezrakho
198,16689671,"Sepideh Rahmati","2026-09-14 20:42:03",0.947,50,sepidehrahmati
199,16797950,Aamod06,"2026-09-14 12:58:30",0.947,15,aamod06
200,16465231,spbforce,"2026-09-13 05:40:36",0.947,85,spbforce
201,16455050,anngle,"2026-09-12 04:54:01",0.947,44,anngle
202,16483448,"Grigoryan Sergey","2026-09-11 08:19:12",0.947,49,hertryggr
203,16454190,kglctf,"2026-09-14 21:12:33",0.947,132,kglctf
204,16456728,IDEA,"2026-09-11 06:44:28",0.947,118,"n10705013,vedrinjeliazkov"
205,16515655,Kurokawa,"2026-09-11 12:05:01",0.947,61,mkurokawa
206,16756161,"Jeff Horon","2026-09-13 12:02:36",0.947,56,jeffhoron
207,16453539,"Emre Cirak","2026-09-10 12:29:59",0.947,147,"biohack44,merkiraz"
208,16770238,ArchedFox,"2026-09-14 13:10:14",0.947,37,archedfox
209,16457119,SpeedSci,"2026-09-10 13:13:46",0.947,30,caoyupeng
210,16866891,truxivan,"2026-09-10 13:44:07",0.947,5,truxivan
211,16866973,cryptvector2,"2026-09-10 13:52:24",0.947,5,cryptvector2
212,16461152,"Abnormal Guys","2026-09-12 05:17:15",0.947,99,"gwey1025,koushikrudra,liuyangmei,lxorbade,xinranju"
213,16614729,OpPrime,"2026-09-14 11:48:37",0.947,76,farshidamira
214,16564970,yemaoye,"2026-09-11 11:17:01",0.947,19,"luckyappley,yemaoye"
215,16852267,alphayuan,"2026-09-14 01:51:37",0.947,12,alphayuan
216,16867622,tatt:)ch,"2026-09-10 15:40:50",0.947,1,tattch
217,16668198,Yusuraume,"2026-09-14 10:45:34",0.947,76,sugitatomohiko
218,16460657,holyholy,"2026-09-14 23:08:55",0.947,17,holy5contents
219,16687611,"Mawra Musawar","2026-09-10 16:23:29",0.947,22,mawramusawwar
220,16782494,"Team Alicia & URAD","2026-09-15 00:47:21",0.947,43,"malikhammadfarooq,myab07,uradkr"
221,16670748,"Gaussian Blob","2026-09-14 12:09:07",0.947,131,"pavelsavchenkov,williamwu88"
222,16759974,"Dread Development","2026-09-14 11:20:19",0.947,30,"dreaddevelopment,seanornberg"
223,16634718,Eusebius,"2026-09-11 08:24:41",0.947,6,protuberanzen2000
224,16845094,"Shadow #2","2026-09-14 12:09:25",0.947,12,shadowtt
225,16534963,"Pietro Maldini","2026-09-10 17:19:34",0.947,5,pietromaldini1
226,16453404,"Pavel Pavlov","2026-09-10 18:08:38",0.947,20,akakii
227,16518151,"Pratham Jain","2026-09-10 18:11:35",0.947,17,kindasomethin
228,16674723,HongchenDai,"2026-09-12 18:46:02",0.947,56,hongchendai
229,16536489,"Igor Zharov","2026-09-10 18:35:17",0.947,63,flexonafft
230,16454736,"Athar Sayed","2026-09-15 02:12:48",0.947,89,"madarshbb,mohammadjavadvaez,nader1196,sayedathar11,yutomuroshima"
231,16866585,"Hagiwara Shigechika","2026-09-14 10:23:44",0.947,5,hagiwarashigechika
232,16506372,tizawa3,"2026-09-15 03:14:32",0.947,67,tizawa
233,16868748,"Anmol Singh","2026-09-12 12:27:43",0.947,4,anmolsin
234,16458756,"Cell-fish Gene","2026-09-10 20:03:15",0.947,30,nihilisticneuralnet
235,16858883,"Nancy Adhiambo","2026-09-10 20:41:58",0.947,2,nancyadhiambo
236,16809402,DataRegressor,"2026-09-14 12:39:25",0.947,3,azzamradman
237,16481018,greyhound,"2026-09-10 21:10:32",0.947,4,tapaskd123
238,16594098,yuki0731,"2026-09-10 23:42:31",0.947,71,yuki0731
239,16461462,Aphrodite,"2026-09-14 18:57:51",0.947,36,aphrodite874
240,16560464,"Handa WANG","2026-09-15 04:05:02",0.947,20,handawang
241,16857776,"Marlon Doi","2026-09-15 05:09:45",0.947,28,bayesnet
242,16858988,"Huizhen Yang","2026-09-14 00:53:14",0.947,25,infocode
243,16860095,Simmonser,"2026-09-15 05:21:37",0.947,27,gptconver
244,16457422,shehai.lrs,"2026-09-11 00:29:28",0.947,40,shehailrs
245,16454696,sectum,"2026-09-11 00:35:23",0.947,13,samuelyangalang
246,16461871,xsong2020,"2026-09-12 22:17:48",0.947,30,xstargate
247,16670468,Shadowfishes,"2026-09-11 00:55:08",0.947,42,"boandme,ronitagarwal1,shauryasahdev2"
248,16475406,"Shubham Sahu2003","2026-09-11 01:11:57",0.947,81,shubhamsahu2003
249,16842809,"Evan #2","2026-09-11 01:23:09",0.947,8,evansussex
250,16465261,yukiZ,"2026-09-14 20:38:35",0.947,94,hideyukizushi
251,16723833,sami,"2026-09-13 21:11:25",0.947,4,samiklah
252,16565889,renta.k,"2026-09-11 01:58:27",0.947,14,renta0426
253,16480462,maesaer,"2026-09-11 02:15:38",0.947,74,maesaer
254,16559438,"Aaryan Agarwal","2026-09-13 00:56:41",0.947,11,aaryanagarwal
255,16663451,jongha24,"2026-09-13 09:35:29",0.947,20,jongha24
256,16719517,Ryutogrrr,"2026-09-11 02:38:17",0.947,10,ryutogrrr
257,16839709,kk.sky.9k,"2026-09-14 16:08:12",0.947,48,kksky9k
258,16457605,"Sergey Bryansky","2026-09-14 17:52:25",0.947,52,sggpls
259,16698602,"m-toshi desu","2026-09-11 10:07:44",0.947,19,mtoshidesu
260,16794592,"Ryosei Hara","2026-09-14 03:21:59",0.947,23,ryhara
261,16515699,"Team Flash","2026-09-11 05:23:25",0.947,43,ctfxiao
262,16846777,"Mohamad Alsabbagh","2026-09-15 01:42:02",0.947,19,malsabbagh05
263,16608659,"Peter Wang","2026-09-14 01:38:04",0.947,26,peterwang1018
264,16717141,"Hai Dang","2026-09-13 04:32:01",0.947,27,haidang2405
265,16754467,alphago700,"2026-09-11 06:44:27",0.947,13,alphago700
266,16488404,"Nuno Ferreira","2026-09-11 06:47:31",0.947,25,ngcferreira
267,16458361,"Komil Parmar","2026-09-14 10:50:10",0.947,80,komilparmar
268,16513678,MJVinay,"2026-09-12 15:52:04",0.947,110,mallajayanthvinay
269,16455247,MAIDANG,"2026-09-15 03:25:45",0.947,153,"daifanhao,dylonwilliam"
270,16458464,"Tai Tien Ta","2026-09-12 13:30:28",0.947,27,tittin
271,16785643,CrazyML,"2026-09-12 20:36:42",0.947,12,"janhvikhattri,sorcererbi,vedanshipathak"
272,16871378,huaiyuyoung,"2026-09-11 10:31:00",0.947,2,huaiyuyoung
273,16542332,"Yassine Alouini","2026-09-14 21:13:35",0.947,63,yassinealouini
274,16730252,ibyyue,"2026-09-13 12:54:06",0.947,84,ibyyue
275,16500778,"chocolate disco","2026-09-11 11:12:42",0.947,11,"marynaborovska,yuriygreben"
276,16872192,"Terry Luo","2026-09-12 12:22:46",0.947,2,eimhluo1764
277,16760621,"Akhyar Ahmad","2026-09-14 14:26:24",0.947,25,akhyar2612
278,16618159,"GURU Prasaatha S","2026-09-11 13:02:55",0.947,15,guruprasaathas111
279,16457792,StephenNedumpally,"2026-09-12 08:22:09",0.947,54,stephennedumpally
280,16808942,zaki_3,"2026-09-11 13:27:22",0.947,16,ojaoja
281,16661495,abcfd,"2026-09-15 01:17:35",0.947,59,matsunagaxxx
282,16457336,"Octavi Grau","2026-09-11 13:26:48",0.947,19,octaviograu
283,16499272,"Affriza Wildan Fauzan","2026-09-11 13:36:15",0.947,14,affrizawildanfauzan
284,16517354,Arnav170,"2026-09-12 01:45:32",0.947,40,arnav170
285,16875674,TSUKAM,"2026-09-11 15:28:59",0.947,1,tsukam
286,16868755,"Taha Hassan","2026-09-11 15:39:44",0.947,2,syedtahahassan
287,16499610,Jimmer,"2026-09-11 16:04:33",0.947,3,przemysawonr
288,16457368,Zenpai1977,"2026-09-11 16:40:43",0.947,84,"ankitbhandari1,dhairyapandya24,zenpai1977"
289,16456936,"Kurian George","2026-09-12 04:27:01",0.947,24,kuriangeorge
290,16875435,qinghaowang1,"2026-09-14 09:44:44",0.947,8,qinghaowang1
291,16453453,OzanM.,"2026-09-11 19:37:26",0.947,111,analyticaobscura
292,16541517,cp11122,"2026-09-14 00:39:56",0.947,19,cp11122
293,16875605,kkkk,"2026-09-14 16:01:19",0.947,6,kkkk4649
294,16532880,"Team Alicia","2026-09-11 21:22:13",0.947,35,"aadigupta7686,del=46a2189cba2f6d40,imamhasnat,krisdreemurr,nabidnur"
295,16862027,"Canh Toan Le","2026-09-14 21:19:29",0.947,25,canhtoanle
296,16454260,"Avner Gomes","2026-09-13 00:01:16",0.947,154,avnergomes
297,16545609,Chloe,"2026-09-12 00:09:14",0.947,43,baytree1238
298,16455492,"Yin Li","2026-09-12 01:35:33",0.947,27,kevin250304
299,16576900,"Saim Sultan","2026-09-15 00:42:26",0.947,122,saimsultan
300,16808392,Dr_F,"2026-09-12 02:16:38",0.947,3,algebraictopology
301,16541923,"Prashant Kikani","2026-09-12 02:18:56",0.947,2,prashantkikani
302,16454099,"Yusuke Togashi","2026-09-13 13:51:20",0.947,205,yusuketogashi
303,16488061,Boiled-Sweet-Potato,"2026-09-12 06:25:21",0.947,25,boiledsweetpotato
304,16514513,harmo-miu,"2026-09-15 02:11:05",0.947,59,harmomiu
305,16501847,"T Soo","2026-09-12 06:31:49",0.947,28,ttgrcgrc
306,16825704,"Shangshang Zhang","2026-09-15 04:15:34",0.947,10,msvzss
307,16867825,"Oleksandr Parfionov","2026-09-12 07:12:44",0.947,2,parfyon
308,16479551,Lien,"2026-09-15 02:08:58",0.947,60,lien151322
309,16484013,"Tianrui WANG","2026-09-12 08:48:42",0.947,74,"boatlee,trwang2025"
310,16512384,"Team Name","2026-09-12 22:19:02",0.947,44,amosokello451
311,16518078,"Marcus Henriksboe","2026-09-13 22:23:50",0.947,71,marcushenriksboe
312,16877264,"Nikita Biryukov","2026-09-13 15:42:04",0.947,9,bnikita
313,16690818,"Takauchi Suguru","2026-09-14 02:13:48",0.947,38,gurusut
314,16514255,"John Park","2026-09-12 11:40:40",0.947,121,sigint
315,16464035,"Biel Escola Rodrigo","2026-09-12 12:18:30",0.947,52,"bielescolarodrigo,omarrgg"
316,16582210,zhuzhenghao-max,"2026-09-14 19:12:04",0.947,82,zhuzhenghaomax
317,16596480,yunfei,"2026-09-13 03:49:57",0.947,4,yunfeihaha
318,16605753,"Anton Kartavtsev","2026-09-13 17:28:10",0.947,20,antonkartavtsev
319,16754797,lime0001,"2026-09-12 15:30:50",0.947,13,lime0001
320,16453635,"Baidalin Adilzhan [dsml.kz]","2026-09-12 15:35:11",0.947,26,baidalinadilzhan
321,16844234,y3uanm,"2026-09-14 05:27:50",0.947,16,"delta47x,lunpaixo,y3uanm"
322,16618751,ocean240812,"2026-09-14 16:00:27",0.947,143,ocean240812
323,16472654,"Giovanni Marco Dall'Olio","2026-09-14 23:43:58",0.947,163,dalloliogm
324,16719234,nubx,"2026-09-12 17:17:36",0.947,31,manrajjitsidhu
325,16876130,"Ekaterina Bagantsova","2026-09-14 18:11:40",0.947,4,bagaek
326,16669788,"zhangzhuang li","2026-09-14 15:21:24",0.947,19,zhangzhuangli
327,16849796,"rahul agnihotri","2026-09-14 08:22:59",0.947,8,rahularast
328,16798282,"John Taylor (AI)","2026-09-15 00:49:45",0.947,14,johntaylorai
